Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Temp_Delta,Type,true_failure,predicted_failure,recommended_disposition
303.2,311.2,1363,46.7,29,8.0,L,HDF,HDF,Investigate cooling; collect temp sensors; open NCR
302.7,311.7,1480,45.2,8,9.0,L,NONE,NONE,Manual review
296.7,307.9,1690,29.6,119,11.199999999999989,L,NONE,NONE,Manual review
301.0,310.8,1533,39.3,194,9.800000000000011,M,NONE,NONE,Manual review
297.5,308.0,1560,39.0,141,10.5,M,NONE,NONE,Manual review
301.0,310.5,1429,39.4,98,9.5,L,NONE,NONE,Manual review
297.2,308.4,1863,26.0,110,11.199999999999989,M,NONE,NONE,Manual review
299.4,309.0,1415,51.7,62,9.600000000000023,H,NONE,NONE,Manual review
297.4,308.3,1366,45.5,11,10.900000000000034,L,NONE,NONE,Manual review
300.1,311.5,1454,52.4,90,11.399999999999977,L,NONE,NONE,Manual review
297.0,307.9,1595,31.7,170,10.899999999999977,L,NONE,NONE,Manual review
297.6,308.5,1452,42.6,116,10.899999999999977,L,NONE,NONE,Manual review
298.9,310.1,1452,49.9,187,11.200000000000045,H,NONE,NONE,Manual review
300.7,309.7,1435,44.7,76,9.0,M,NONE,NONE,Manual review
298.2,307.6,1511,31.0,209,9.400000000000034,L,TWF,NONE,Manual review
302.5,310.4,1487,42.0,152,7.899999999999977,L,NONE,NONE,Manual review
302.2,311.7,1584,36.2,63,9.5,M,NONE,NONE,Manual review
300.6,311.0,1401,54.6,94,10.399999999999977,M,NONE,NONE,Manual review
301.7,310.8,1502,34.4,157,9.100000000000023,M,NONE,NONE,Manual review
297.8,307.5,1372,54.1,157,9.699999999999989,L,NONE,NONE,Manual review
302.3,311.7,1611,38.6,143,9.399999999999977,L,NONE,NONE,Manual review
300.7,310.8,1519,43.9,55,10.100000000000023,L,NONE,NONE,Manual review
301.3,310.4,1504,47.2,193,9.099999999999966,L,NONE,NONE,Manual review
299.1,308.3,1424,43.4,16,9.199999999999989,H,NONE,NONE,Manual review
298.4,308.2,1468,43.8,2,9.800000000000011,M,NONE,NONE,Manual review
302.8,310.6,1470,41.1,205,7.800000000000011,L,NONE,NONE,Manual review
300.2,311.4,1433,37.9,36,11.199999999999989,L,NONE,NONE,Manual review
297.4,309.3,1564,36.0,126,11.900000000000034,M,NONE,NONE,Manual review
298.8,309.8,1477,46.7,59,11.0,M,NONE,NONE,Manual review
298.5,307.9,1640,33.1,146,9.399999999999977,M,NONE,NONE,Manual review
302.9,312.5,1924,24.0,17,9.600000000000023,M,NONE,NONE,Manual review
301.3,311.1,1624,40.9,0,9.800000000000011,L,NONE,NONE,Manual review
301.5,310.5,1528,35.7,198,9.0,L,NONE,NONE,Manual review
300.4,311.6,1359,55.4,160,11.200000000000045,M,NONE,NONE,Manual review
300.5,311.4,1679,27.5,59,10.899999999999977,H,NONE,NONE,Manual review
295.4,305.9,1518,40.6,178,10.5,M,NONE,NONE,Manual review
297.6,309.5,1617,36.2,42,11.899999999999977,L,NONE,NONE,Manual review
303.5,312.7,1420,49.1,42,9.199999999999989,M,NONE,NONE,Manual review
300.7,310.0,1395,48.0,85,9.300000000000011,L,NONE,NONE,Manual review
299.3,310.4,1725,26.8,167,11.099999999999966,L,NONE,NONE,Manual review
300.2,309.3,1532,43.2,53,9.100000000000023,L,NONE,NONE,Manual review
301.4,310.8,1477,50.4,90,9.400000000000034,L,NONE,NONE,Manual review
297.7,308.9,1575,39.9,12,11.199999999999989,L,NONE,NONE,Manual review
299.7,310.6,1675,31.3,129,10.900000000000034,L,NONE,NONE,Manual review
299.7,311.0,1983,21.0,201,11.300000000000011,L,NONE,NONE,Manual review
301.5,310.8,1500,41.0,118,9.300000000000011,L,NONE,NONE,Manual review
303.9,313.4,1464,49.1,171,9.5,M,NONE,NONE,Manual review
302.2,311.3,1375,47.0,98,9.100000000000023,M,NONE,NONE,Manual review
300.2,310.2,1600,31.5,23,10.0,L,NONE,NONE,Manual review
301.5,310.7,1323,49.7,79,9.199999999999989,L,NONE,NONE,Manual review
300.5,310.7,1606,33.5,121,10.199999999999989,L,NONE,NONE,Manual review
301.6,310.5,1602,32.3,2,8.899999999999977,H,RNF,NONE,Manual review
297.2,307.9,1469,48.2,144,10.699999999999989,L,NONE,NONE,Manual review
300.5,309.3,1475,46.8,94,8.800000000000011,L,NONE,NONE,Manual review
299.1,310.6,1602,39.7,144,11.5,L,NONE,NONE,Manual review
298.5,309.2,1449,46.4,83,10.699999999999989,M,NONE,NONE,Manual review
302.4,311.9,1541,37.9,192,9.5,L,NONE,NONE,Manual review
299.8,309.2,1572,35.4,158,9.399999999999977,L,NONE,NONE,Manual review
298.9,310.0,1378,49.3,18,11.100000000000023,L,NONE,NONE,Manual review
303.3,311.4,1732,25.6,232,8.099999999999966,L,NONE,NONE,Manual review
303.9,313.1,1483,47.2,71,9.200000000000045,M,NONE,NONE,Manual review
300.5,309.9,1735,27.0,107,9.399999999999977,M,NONE,NONE,Manual review
303.3,311.8,1536,40.6,205,8.5,M,NONE,NONE,Manual review
300.9,311.4,2073,21.4,105,10.5,L,NONE,NONE,Manual review
300.7,311.0,1378,41.2,93,10.300000000000011,M,NONE,NONE,Manual review
298.9,308.5,1503,40.6,145,9.600000000000023,L,NONE,NONE,Manual review
298.6,310.2,1668,31.5,7,11.599999999999966,M,NONE,NONE,Manual review
301.1,310.9,1552,37.9,126,9.799999999999955,M,NONE,NONE,Manual review
297.7,308.4,1738,27.7,96,10.699999999999989,H,NONE,NONE,Manual review
300.3,310.0,1560,40.8,182,9.699999999999989,L,NONE,NONE,Manual review
304.2,313.4,1475,40.2,98,9.199999999999989,L,NONE,NONE,Manual review
301.3,310.4,1501,41.6,192,9.099999999999966,L,NONE,NONE,Manual review
303.8,312.9,1619,35.7,182,9.099999999999966,L,NONE,NONE,Manual review
297.4,308.9,1645,30.8,196,11.5,H,NONE,NONE,Manual review
302.4,312.0,1477,39.7,18,9.600000000000023,H,NONE,NONE,Manual review
299.7,309.1,1508,41.2,152,9.400000000000034,M,NONE,NONE,Manual review
299.5,311.0,1451,43.3,136,11.5,M,NONE,NONE,Manual review
299.9,309.4,1487,42.2,198,9.5,M,NONE,NONE,Manual review
298.8,308.6,1331,62.8,81,9.800000000000011,L,NONE,NONE,Manual review
302.7,312.1,1597,39.8,153,9.400000000000034,L,NONE,NONE,Manual review
302.2,311.7,1556,38.6,145,9.5,L,NONE,NONE,Manual review
298.8,310.3,1573,41.8,91,11.5,M,NONE,NONE,Manual review
301.5,310.6,1492,43.0,100,9.100000000000023,M,NONE,NONE,Manual review
296.9,307.6,1685,32.0,10,10.700000000000045,M,NONE,NONE,Manual review
302.5,311.4,1674,27.0,223,8.899999999999977,L,NONE,NONE,Manual review
300.1,309.3,1685,27.1,203,9.199999999999989,L,NONE,NONE,Manual review
298.7,309.9,1483,32.8,142,11.199999999999989,L,NONE,NONE,Manual review
297.1,308.3,1763,25.7,139,11.199999999999989,L,NONE,NONE,Manual review
298.2,307.8,1355,59.4,115,9.600000000000023,L,NONE,NONE,Manual review
297.8,309.7,1547,37.3,25,11.899999999999977,L,NONE,NONE,Manual review
300.1,311.3,1305,64.7,66,11.199999999999989,L,NONE,NONE,Manual review
297.1,308.7,1474,42.3,64,11.599999999999966,L,NONE,NONE,Manual review
303.9,313.1,1665,29.6,0,9.200000000000045,L,NONE,NONE,Manual review
299.7,309.2,1422,40.4,140,9.5,L,NONE,NONE,Manual review
302.5,311.0,1563,35.6,190,8.5,M,NONE,NONE,Manual review
298.8,309.4,1387,54.1,171,10.599999999999966,L,NONE,NONE,Manual review
301.9,310.8,1735,31.5,66,8.900000000000034,L,NONE,NONE,Manual review
298.4,309.2,2118,17.7,210,10.800000000000011,L,NONE,NONE,Manual review
303.6,313.1,1395,44.1,120,9.5,L,NONE,NONE,Manual review
302.7,310.6,1349,51.2,6,7.900000000000034,M,HDF,HDF,Investigate cooling; collect temp sensors; open NCR
299.7,310.5,1594,35.4,134,10.800000000000011,M,NONE,NONE,Manual review
299.9,309.2,1598,34.6,111,9.300000000000011,L,NONE,NONE,Manual review
296.6,307.4,1389,42.7,48,10.799999999999955,L,NONE,NONE,Manual review
301.0,311.2,1602,32.7,19,10.199999999999989,H,NONE,NONE,Manual review
301.4,310.8,1530,39.9,107,9.400000000000034,M,NONE,NONE,Manual review
299.9,309.2,1574,36.5,177,9.300000000000011,M,NONE,NONE,Manual review
298.4,309.2,1335,53.5,168,10.800000000000011,L,NONE,NONE,Manual review
302.5,311.5,1521,44.1,37,9.0,L,NONE,NONE,Manual review
297.4,308.4,1675,29.5,59,11.0,M,NONE,NONE,Manual review
301.4,310.4,1737,31.9,96,9.0,L,NONE,NONE,Manual review
297.9,307.8,1499,37.5,78,9.900000000000034,L,NONE,NONE,Manual review
300.0,309.1,1463,45.7,11,9.100000000000023,M,NONE,NONE,Manual review
299.6,309.2,1540,36.7,221,9.599999999999966,L,NONE,NONE,Manual review
297.5,308.1,1480,42.4,112,10.600000000000023,M,NONE,NONE,Manual review
298.9,308.2,2022,20.0,23,9.300000000000011,M,NONE,NONE,Manual review
300.9,310.7,1268,56.3,161,9.800000000000011,M,NONE,NONE,Manual review
299.4,309.0,1660,28.4,139,9.600000000000023,L,NONE,NONE,Manual review
300.1,309.4,1329,55.2,143,9.299999999999955,H,NONE,NONE,Manual review
297.7,307.3,1365,49.2,36,9.600000000000023,M,NONE,NONE,Manual review
301.7,310.6,1417,45.2,185,8.900000000000034,M,NONE,NONE,Manual review
302.3,310.6,1525,48.7,114,8.300000000000011,H,NONE,NONE,Manual review
300.4,311.7,1832,24.2,179,11.300000000000011,M,NONE,NONE,Manual review
302.1,311.2,1369,50.8,164,9.099999999999966,L,NONE,NONE,Manual review
298.8,308.9,1466,44.1,184,10.099999999999966,H,NONE,NONE,Manual review
297.4,308.7,2874,4.2,118,11.300000000000011,L,PWF,PWF,Check power supply logs; escalate to Supplier Quality
300.7,311.8,1478,41.9,207,11.100000000000023,L,NONE,NONE,Manual review
302.8,312.1,1418,51.4,54,9.300000000000011,L,NONE,NONE,Manual review
296.6,307.6,1498,41.1,80,11.0,L,NONE,NONE,Manual review
300.6,311.7,1553,39.8,0,11.099999999999966,L,NONE,NONE,Manual review
300.1,311.3,1523,34.1,135,11.199999999999989,M,NONE,NONE,Manual review
300.6,310.2,1489,47.8,21,9.599999999999966,L,NONE,NONE,Manual review
301.1,311.1,1889,23.8,170,10.0,L,NONE,NONE,Manual review
297.4,308.4,1343,40.0,61,11.0,L,NONE,NONE,Manual review
301.7,310.1,1424,50.2,54,8.400000000000034,L,NONE,NONE,Manual review
301.8,311.0,1756,26.7,33,9.199999999999989,M,NONE,NONE,Manual review
297.5,308.2,1327,56.5,189,10.699999999999989,L,NONE,NONE,Manual review
300.7,310.5,1445,41.1,201,9.800000000000011,L,NONE,NONE,Manual review
300.6,312.3,1532,37.2,54,11.699999999999989,L,NONE,NONE,Manual review
303.7,312.2,1487,34.0,94,8.5,L,NONE,NONE,Manual review
304.2,313.4,1740,28.2,78,9.199999999999989,L,NONE,NONE,Manual review
300.7,309.5,1622,30.5,14,8.800000000000011,M,NONE,NONE,Manual review
299.1,310.1,1486,40.7,39,11.0,L,NONE,NONE,Manual review
300.6,311.0,1543,34.7,89,10.399999999999977,L,NONE,NONE,Manual review
300.6,310.0,1397,55.2,90,9.399999999999977,M,NONE,NONE,Manual review
301.6,310.2,1411,45.1,54,8.599999999999966,M,NONE,NONE,Manual review
298.1,308.7,1315,56.8,59,10.599999999999966,M,NONE,NONE,Manual review
296.7,307.7,1524,36.8,82,11.0,L,NONE,NONE,Manual review
300.6,311.9,1425,44.9,224,11.299999999999955,L,NONE,NONE,Manual review
299.5,309.2,1497,40.9,169,9.699999999999989,M,NONE,NONE,Manual review
302.9,311.1,1555,33.9,96,8.200000000000045,L,NONE,NONE,Manual review
302.0,310.0,1449,48.8,181,8.0,L,NONE,NONE,Manual review
302.7,311.9,1389,46.5,15,9.199999999999989,L,NONE,NONE,Manual review
297.7,308.2,1526,40.1,165,10.5,H,NONE,NONE,Manual review
297.4,308.8,1325,62.4,204,11.400000000000034,M,TWF,NONE,Manual review
303.3,311.5,1373,47.3,60,8.199999999999989,M,HDF,HDF,Investigate cooling; collect temp sensors; open NCR
299.6,310.9,1630,29.8,206,11.299999999999955,M,NONE,NONE,Manual review
300.5,309.7,1341,50.9,137,9.199999999999989,M,NONE,NONE,Manual review
302.5,312.0,1357,42.0,179,9.5,H,NONE,NONE,Manual review
298.3,309.0,1519,40.0,96,10.699999999999989,L,NONE,NONE,Manual review
297.2,308.7,1398,38.1,88,11.5,M,NONE,NONE,Manual review
301.6,310.5,1786,27.1,35,8.899999999999977,H,NONE,NONE,Manual review
296.0,306.6,1511,35.2,119,10.600000000000023,L,NONE,NONE,Manual review
300.1,310.5,1500,39.8,107,10.399999999999977,L,NONE,NONE,Manual review
300.7,310.1,1367,52.6,167,9.400000000000034,M,NONE,NONE,Manual review
304.1,313.2,1824,25.8,186,9.099999999999966,L,NONE,NONE,Manual review
296.8,307.7,1565,40.1,89,10.899999999999977,L,NONE,NONE,Manual review
303.6,312.0,1309,52.9,86,8.399999999999977,L,HDF,HDF,Investigate cooling; collect temp sensors; open NCR
302.0,311.2,1558,39.1,179,9.199999999999989,M,NONE,NONE,Manual review
301.7,310.5,1399,53.2,174,8.800000000000011,L,NONE,NONE,Manual review
302.3,311.2,1786,24.3,81,8.899999999999977,L,NONE,NONE,Manual review
301.9,311.0,1669,32.2,191,9.100000000000023,L,NONE,NONE,Manual review
298.1,308.6,1425,41.9,11,10.5,M,NONE,NONE,Manual review
297.4,308.7,1545,36.9,125,11.300000000000011,L,NONE,NONE,Manual review
297.6,309.5,1709,32.2,65,11.899999999999977,M,NONE,NONE,Manual review
296.2,307.3,1711,29.9,42,11.100000000000023,L,NONE,NONE,Manual review
300.5,309.7,1887,24.3,28,9.199999999999989,L,NONE,NONE,Manual review
301.3,310.9,1566,33.1,82,9.599999999999966,L,NONE,NONE,Manual review
303.5,311.8,1944,23.5,159,8.300000000000011,L,NONE,NONE,Manual review
295.8,306.4,1325,56.2,65,10.599999999999966,L,NONE,NONE,Manual review
298.2,308.9,1444,53.1,83,10.699999999999989,L,NONE,NONE,Manual review
301.6,309.8,1588,33.9,89,8.199999999999989,L,NONE,NONE,Manual review
300.9,309.7,1431,41.4,199,8.800000000000011,L,NONE,NONE,Manual review
299.7,309.3,1592,34.2,8,9.600000000000023,L,NONE,NONE,Manual review
301.0,309.5,1430,48.5,122,8.5,L,NONE,NONE,Manual review
297.8,307.7,1505,39.7,25,9.899999999999977,L,NONE,NONE,Manual review
298.8,309.6,1692,31.9,167,10.800000000000011,M,NONE,NONE,Manual review
301.5,310.7,1596,35.4,150,9.199999999999989,L,NONE,NONE,Manual review
302.6,312.2,1520,43.0,208,9.599999999999966,L,NONE,NONE,Manual review
298.7,309.3,1402,45.3,190,10.600000000000023,H,NONE,NONE,Manual review
297.0,308.4,1305,54.6,168,11.399999999999977,H,NONE,NONE,Manual review
299.4,309.1,1326,62.0,142,9.700000000000045,M,NONE,NONE,Manual review
299.1,308.2,1435,45.2,45,9.099999999999966,M,NONE,NONE,Manual review
302.2,311.2,1544,43.6,63,9.0,M,NONE,NONE,Manual review
302.2,310.8,1562,38.1,78,8.600000000000023,M,NONE,NONE,Manual review
299.9,310.3,1268,53.3,146,10.400000000000034,L,NONE,NONE,Manual review
299.2,310.5,1458,44.1,91,11.300000000000011,L,NONE,NONE,Manual review
300.8,310.8,1741,27.1,39,10.0,L,NONE,NONE,Manual review
297.9,307.9,1412,44.5,85,10.0,L,NONE,NONE,Manual review
303.7,312.4,1718,26.5,130,8.699999999999989,L,NONE,NONE,Manual review
297.8,309.7,1935,22.1,171,11.899999999999977,L,NONE,NONE,Manual review
298.4,308.3,1433,62.3,20,9.900000000000034,L,PWF,NONE,Manual review
298.8,309.1,1477,42.4,158,10.300000000000011,L,NONE,NONE,Manual review
301.7,309.9,1452,41.5,86,8.199999999999989,M,NONE,NONE,Manual review
298.9,310.3,1436,39.0,32,11.400000000000034,L,NONE,NONE,Manual review
300.4,311.4,1424,44.6,127,11.0,L,NONE,NONE,Manual review
300.5,310.0,1495,47.4,184,9.5,H,NONE,NONE,Manual review
297.6,308.6,1526,42.1,57,11.0,L,NONE,NONE,Manual review
300.0,309.5,1879,22.4,79,9.5,M,NONE,NONE,Manual review
298.4,308.5,1827,24.3,153,10.100000000000023,H,NONE,NONE,Manual review
297.6,308.6,1744,28.5,42,11.0,L,NONE,NONE,Manual review
299.1,308.9,1445,43.4,197,9.799999999999955,L,NONE,NONE,Manual review
304.1,313.3,1415,50.0,184,9.199999999999989,L,NONE,NONE,Manual review
303.8,312.7,1507,38.5,180,8.899999999999977,M,NONE,NONE,Manual review
302.5,311.9,1497,41.6,123,9.399999999999977,L,NONE,NONE,Manual review
300.4,309.6,1356,45.9,64,9.200000000000045,L,NONE,NONE,Manual review
296.8,308.0,1666,29.8,41,11.199999999999989,L,NONE,NONE,Manual review
302.8,312.2,1469,36.9,143,9.399999999999977,M,NONE,NONE,Manual review
298.4,308.2,1463,37.6,188,9.800000000000011,M,NONE,NONE,Manual review
298.7,310.2,1717,27.3,26,11.5,L,NONE,NONE,Manual review
301.3,310.0,1532,36.3,2,8.699999999999989,H,NONE,NONE,Manual review
298.3,309.1,1296,58.7,201,10.800000000000011,M,NONE,NONE,Manual review
300.1,309.1,1551,33.7,214,9.0,L,NONE,NONE,Manual review
303.7,312.0,1402,48.6,76,8.300000000000011,M,NONE,NONE,Manual review
302.0,310.6,1361,46.7,182,8.600000000000023,L,NONE,NONE,Manual review
297.3,308.3,1590,35.5,59,11.0,L,NONE,NONE,Manual review
297.9,309.1,1457,44.4,28,11.200000000000045,L,NONE,NONE,Manual review
299.4,310.4,1582,31.7,181,11.0,L,NONE,NONE,Manual review
302.5,311.9,1298,57.5,57,9.399999999999977,M,NONE,NONE,Manual review
301.4,310.7,1428,53.7,176,9.300000000000011,L,NONE,NONE,Manual review
298.3,308.3,1379,48.0,181,10.0,M,NONE,NONE,Manual review
297.8,309.2,1400,56.9,34,11.399999999999977,L,NONE,NONE,Manual review
299.2,308.6,1267,68.2,76,9.400000000000034,L,PWF,PWF,Check power supply logs; escalate to Supplier Quality
302.0,310.5,2197,15.8,133,8.5,L,NONE,NONE,Manual review
301.7,311.0,1505,37.1,190,9.300000000000011,M,NONE,NONE,Manual review
300.3,311.7,1445,47.3,15,11.399999999999977,L,NONE,NONE,Manual review
300.9,310.9,1727,30.1,102,10.0,M,NONE,NONE,Manual review
301.9,309.6,1439,41.7,201,7.7000000000000455,M,NONE,NONE,Manual review
301.0,310.9,1392,52.9,173,9.899999999999977,L,NONE,NONE,Manual review
301.5,310.6,1481,46.8,20,9.100000000000023,L,NONE,NONE,Manual review
300.1,310.2,1475,54.2,53,10.099999999999966,L,NONE,NONE,Manual review
302.5,310.3,1688,31.6,66,7.800000000000011,L,NONE,NONE,Manual review
299.1,308.6,1555,36.6,104,9.5,L,NONE,NONE,Manual review
295.5,306.0,1621,29.5,176,10.5,L,NONE,NONE,Manual review
300.0,311.4,1655,29.6,30,11.399999999999977,L,NONE,NONE,Manual review
300.9,310.6,1350,53.8,131,9.700000000000045,L,NONE,NONE,Manual review
300.4,309.6,1523,38.5,124,9.200000000000045,L,NONE,NONE,Manual review
303.9,313.0,1759,28.4,74,9.100000000000023,L,NONE,NONE,Manual review
300.2,311.6,1533,46.4,24,11.400000000000034,M,NONE,NONE,Manual review
301.5,310.5,1593,32.9,155,9.0,L,NONE,NONE,Manual review
302.6,312.3,1454,54.8,253,9.699999999999989,M,TWF,NONE,Manual review
302.0,309.8,1480,40.0,199,7.800000000000011,L,NONE,NONE,Manual review
300.7,309.5,1251,59.9,120,8.800000000000011,L,NONE,NONE,Manual review
300.1,310.1,1426,42.7,64,10.0,H,NONE,NONE,Manual review
303.8,312.5,1619,30.9,142,8.699999999999989,L,NONE,NONE,Manual review
301.0,312.3,1550,34.9,111,11.300000000000011,L,NONE,NONE,Manual review
302.1,311.3,1521,31.5,202,9.199999999999989,L,NONE,NONE,Manual review
300.8,310.9,1425,44.0,33,10.099999999999966,H,NONE,NONE,Manual review
297.8,307.8,1597,38.2,11,10.0,L,NONE,NONE,Manual review
302.3,311.8,1574,42.8,215,9.5,L,NONE,NONE,Manual review
300.6,310.0,1658,34.7,88,9.399999999999977,L,NONE,NONE,Manual review
298.9,308.8,1621,32.7,75,9.900000000000034,H,NONE,NONE,Manual review
296.6,307.5,1439,45.5,199,10.899999999999977,L,NONE,NONE,Manual review
298.5,309.5,1547,33.1,68,11.0,L,NONE,NONE,Manual review
300.1,309.7,1420,48.4,36,9.599999999999966,M,NONE,NONE,Manual review
302.1,311.5,1635,31.6,23,9.399999999999977,M,NONE,NONE,Manual review
298.3,307.8,1906,22.1,104,9.5,L,NONE,NONE,Manual review
298.9,310.0,1456,43.8,15,11.100000000000023,M,NONE,NONE,Manual review
297.2,308.4,1462,51.2,102,11.199999999999989,L,NONE,NONE,Manual review
303.6,311.7,1491,39.8,92,8.099999999999966,L,NONE,NONE,Manual review
299.4,308.7,1446,62.9,134,9.300000000000011,L,PWF,NONE,Manual review
296.6,307.3,1474,40.0,158,10.699999999999989,L,NONE,NONE,Manual review
298.8,309.3,1450,44.8,63,10.5,L,NONE,NONE,Manual review
302.4,311.5,1505,37.9,79,9.100000000000023,L,NONE,NONE,Manual review
299.0,308.3,1441,44.0,48,9.300000000000011,L,NONE,NONE,Manual review
300.7,310.6,1407,42.4,218,9.900000000000034,M,NONE,NONE,Manual review
300.4,311.6,1674,33.0,172,11.200000000000045,L,NONE,NONE,Manual review
301.1,309.8,1519,39.6,167,8.699999999999989,L,NONE,NONE,Manual review
297.8,309.3,2015,20.1,161,11.5,L,NONE,NONE,Manual review
300.0,309.7,1529,42.4,107,9.699999999999989,H,NONE,NONE,Manual review
297.9,308.7,1751,26.6,111,10.800000000000011,M,NONE,NONE,Manual review
300.8,310.6,1663,30.6,139,9.800000000000011,L,NONE,NONE,Manual review
303.5,311.6,1361,46.5,62,8.100000000000023,L,HDF,HDF,Investigate cooling; collect temp sensors; open NCR
302.3,311.7,1494,37.1,114,9.399999999999977,M,NONE,NONE,Manual review
300.6,310.2,1648,31.7,46,9.599999999999966,L,NONE,NONE,Manual review
303.3,312.6,1397,47.1,137,9.300000000000011,M,NONE,NONE,Manual review
303.3,311.8,1441,44.9,61,8.5,M,NONE,NONE,Manual review
297.4,308.2,1424,53.9,120,10.800000000000011,M,NONE,NONE,Manual review
300.5,310.4,1761,26.5,12,9.899999999999977,L,NONE,NONE,Manual review
297.4,309.0,1505,39.2,209,11.600000000000023,L,NONE,NONE,Manual review
298.6,309.9,1615,28.8,199,11.299999999999955,L,NONE,NONE,Manual review
300.2,310.6,1983,20.8,83,10.400000000000034,M,NONE,NONE,Manual review
297.7,309.0,1538,43.2,30,11.300000000000011,L,NONE,NONE,Manual review
302.3,311.7,1449,44.5,152,9.399999999999977,H,NONE,NONE,Manual review
298.5,309.5,1738,25.2,49,11.0,L,NONE,NONE,Manual review
300.1,309.7,2151,17.5,173,9.599999999999966,L,NONE,NONE,Manual review
299.9,309.2,1525,33.2,0,9.300000000000011,H,NONE,NONE,Manual review
300.6,309.4,1474,40.7,87,8.799999999999955,L,NONE,NONE,Manual review
297.3,307.9,1797,24.7,75,10.599999999999966,L,NONE,NONE,Manual review
299.8,311.1,1452,47.3,188,11.300000000000011,L,NONE,NONE,Manual review
300.6,311.7,1488,47.7,22,11.099999999999966,L,NONE,NONE,Manual review
301.0,311.6,1454,40.0,140,10.600000000000023,M,NONE,NONE,Manual review
299.2,309.0,1515,48.9,228,9.800000000000011,L,OSF,NONE,Manual review
299.0,310.3,1558,35.4,223,11.300000000000011,M,NONE,NONE,Manual review
298.6,309.4,1362,45.3,56,10.799999999999955,H,NONE,NONE,Manual review
303.8,312.6,1527,41.9,159,8.800000000000011,M,NONE,NONE,Manual review
301.3,310.0,1696,32.4,202,8.699999999999989,M,NONE,NONE,Manual review
297.1,307.9,1507,38.3,170,10.799999999999955,L,NONE,NONE,Manual review
299.2,310.1,1542,36.1,5,10.900000000000034,H,NONE,NONE,Manual review
301.6,310.6,1506,43.4,222,9.0,L,NONE,NONE,Manual review
298.2,309.0,1353,57.8,89,10.800000000000011,L,NONE,NONE,Manual review
300.5,311.7,1811,26.8,47,11.199999999999989,L,NONE,NONE,Manual review
297.1,307.9,1456,50.0,166,10.799999999999955,L,NONE,NONE,Manual review
302.5,310.4,1451,53.6,194,7.899999999999977,M,NONE,NONE,Manual review
301.5,310.4,1270,54.2,26,8.899999999999977,L,NONE,NONE,Manual review
296.9,308.0,1641,33.3,67,11.100000000000023,M,NONE,NONE,Manual review
297.6,308.7,1408,51.5,4,11.099999999999966,M,NONE,NONE,Manual review
298.1,309.5,1530,40.2,65,11.399999999999977,H,NONE,NONE,Manual review
298.0,309.1,1820,23.6,120,11.100000000000023,L,NONE,NONE,Manual review
298.9,308.7,1433,44.7,108,9.800000000000011,L,NONE,NONE,Manual review
300.2,309.4,1433,48.8,191,9.199999999999989,M,NONE,NONE,Manual review
300.1,309.6,1376,52.1,147,9.5,M,NONE,NONE,Manual review
298.4,309.4,1385,43.2,119,11.0,L,NONE,NONE,Manual review
297.5,309.1,1540,38.5,176,11.600000000000023,M,NONE,NONE,Manual review
